source_row,meter_number,installation_number,agreement_number,value,location,crs,source_x,source_y,latitude,longitude,bina_id,bina_value,bina_layer,method,meters,confidence,overlay,action,reason,hitIds
2,1435754,449956,44768341,BAYLAN_LORA_W,POINT (442109.200110961 4247790.01080629),EPSG:5258,442109.200110961,4247790.01080629,38.36112029512118,38.33763735307904,4111,M1-5,RYA_MER_38_39_MULTIPOLYGON [2 adet],inside,0.000019561987138659295,high,,insert,,4111
3,1436254,449906,44768344,BAYLAN_LORA_W,POINT (442175.973506643 4247889.53719235),EPSG:5258,442175.973506643,4247889.53719235,38.36202115564541,38.33839313898029,4109,M1-3,RYA_MER_38_39_MULTIPOLYGON [2 adet],inside,0.000019564967076510487,high,,insert,,4109
4,2873269,449186,44768347,BAYLAN_LORA_W,POINT (442344.754526365 4246956.89835992),EPSG:5258,442344.754526365,4246956.89835992,38.35363068948742,38.340400400847486,2947,TİP2-7,RYA_MER_28_MULTIPOLYGON [1 adet],inside,0.000002208491622343014,high,,insert,,2947
6,1442745,452678,44771941,BAYLAN_LORA_W,POINT (440051.133718921 4248496.47080206),EPSG:5258,440051.133718921,4248496.47080206,38.36734876678996,38.31403127894939,3830,A1-4,RYA_MER_30_MULTIPOLYGON [1 adet],inside,0.00001989126083632336,high,,insert,,3830
7,1444543,453237,44771946,BAYLAN_LORA_W,POINT (431313.350694522 4244744.68947127),EPSG:5258,431313.350694522,4244744.68947127,38.33292549796072,38.21442198672926,786,A4,P_KONUT_MULTIPOLYGON [727 adet],inside,0,high,existing_bina_bilgi,insert,,786|4589
9,2841369,454575,44772724,BAYLAN_LORA_W,POINT (436930.109594946 4248101.05757209),EPSG:5258,436930.109594946,4248101.05757209,38.36357250363021,38.278356687188946,931,B4,P_KONUT_MULTIPOLYGON [727 adet],inside,0.0000477344104802698,high,same_name_primary_layer,insert,,931|3908
11,2838548,454774,44773085,BAYLAN_LORA_W,POINT (436940.952764334 4248036.8535915),EPSG:5258,436940.952764334,4248036.8535915,38.36299491640263,38.27848648664107,937,B1,P_KONUT_MULTIPOLYGON [727 adet],inside,0.00026709933134378306,high,same_name_primary_layer,insert,,937|3905
12,2838571,454798,44773184,BAYLAN_LORA_W,POINT (436918.940851267 4248151.5425353),EPSG:5258,436918.940851267,4248151.5425353,38.36402648654639,38.278224387933356,942,B7,P_KONUT_MULTIPOLYGON [727 adet],inside,0.004131245656385852,high,same_name_primary_layer,insert,,942|3925
13,1427859,445982,44778759,BAYLAN_LORA_W,POINT (440505.655400364 4246490.54171141),EPSG:5258,440505.655400364,4246490.54171141,38.34930945670498,38.31940102970158,1910,E BLOK,RYA_MER_1_MULTIPOLYGON [1 adet],inside,0.0036399381158881087,high,,insert,,1910
14,1427857,445697,44794623,BAYLAN_LORA_W,POINT (440505.655400364 4246490.54171141),EPSG:5258,440505.655400364,4246490.54171141,38.34930945670498,38.31940102970158,1910,E BLOK,RYA_MER_1_MULTIPOLYGON [1 adet],inside,0.0036399381158881087,high,,insert,,1910
15,2844415,448984,44768485,BAYLAN_LORA_W,POINT (433818.961177578 4245017.39753195),EPSG:5258,433818.961177578,4245017.39753195,38.335570498872116,38.243051061138694,2862,B1 BLOK HAYMA,RYA_MER_45_MULTIPOLYGON [1 adet],inside,0.0000192879373759069,high,,insert,,2862
16,1443905,449190,44768491,BAYLAN_LORA_W,POINT (431523.693300402 4244364.80051137),EPSG:5258,431523.693300402,4244364.80051137,38.329519569494714,38.21686432498217,762,A8,P_KONUT_MULTIPOLYGON [727 adet],inside,0.0002194898780477419,high,same_name_primary_layer,insert,,762|4702
17,1435886,449351,44768525,BAYLAN_LORA_W,POINT (442098.635126902 4248093.20406482),EPSG:5258,442098.635126902,4248093.20406482,38.363850817603094,38.337491585879775,4121,MT-3,RYA_MER_38_39_MULTIPOLYGON [2 adet],inside,0,high,,insert,,4121
19,1437097,449352,44768530,BAYLAN_LORA_W,POINT (443396.264502638 4246245.45289964),EPSG:5258,443396.264502638,4246245.45289964,38.347288911530335,38.352486459972695,718,DB-4,P_KONUT_MULTIPOLYGON [727 adet],inside,0,high,,insert,,718
20,1435810,443685,44768541,BAYLAN_LORA_W,POINT (442167.055879433 4248088.74333637),EPSG:5258,442167.055879433,4248088.74333637,38.36381505559206,38.338274774826615,4107,M1-1,RYA_MER_38_39_MULTIPOLYGON [2 adet],inside,0.000002760575388969381,high,,insert,,4107
23,2825730,449971,44768507,BAYLAN_LORA_W,POINT (437014.159800381 4248172.12181143),EPSG:5258,437014.159800381,4248172.12181143,38.364218566680755,38.27931196833599,946,A5,P_KONUT_MULTIPOLYGON [727 adet],inside,0,high,same_name_primary_layer,insert,,946|3883
25,1435914,444509,44768619,BAYLAN_LORA_W,POINT (442042.079051845 4248006.63989958),EPSG:5258,442042.079051845,4248006.63989958,38.3630673781045,38.33685162524161,703,DBT-3,P_KONUT_DÜKKAN_MULTIPOLYGON [365 adet],inside,0,high,existing_bina_bilgi,insert,,703|4100
26,28225101,449922,44768459,BAYLAN_LORA_W,POINT (436958.289800381 4248214.73221143),EPSG:5258,436958.289800381,4248214.73221143,38.36459847097929,38.27866893747044,947,A7,P_KONUT_MULTIPOLYGON [727 adet],inside,0.000051590195577966724,high,existing_bina_bilgi,insert,,947|3885
27,2932983,449972,44768570,BAYLAN_LORA_W,POINT (439814.284374227 4247470.6231124),EPSG:5258,439814.284374227,4247470.6231124,38.358091956756624,38.311408849824545,249,B4,RYA_MER_22_MULTIPOLYGON [1 adet],inside,0,high,,insert,,249
28,1432317,449167,44768604,BAYLAN_LORA_W,POINT (439226.149712017 4247201.83008552),EPSG:5258,439226.149712017,4247201.83008552,38.35563093923954,38.3047035533085,588,A1-10,P_KONUT_DÜKKAN_MULTIPOLYGON [365 adet],inside,0.002810205031545847,high,same_name_primary_layer,insert,,213|588
29,2873262,459368,44789086,BAYLAN_LORA_W,POINT (442292.846397644 4247007.11083364),EPSG:5258,442292.846397644,4247007.11083364,38.35407966912794,38.33980247982453,680,TIP1-4,P_KONUT_DÜKKAN_MULTIPOLYGON [365 adet],inside,0.0003178608887314347,high,same_name_primary_layer,insert,,680|2935
30,2873288,444210,44768475,BAYLAN_LORA_W,POINT (442353.932333647 4247020.28018986),EPSG:5258,442353.932333647,4247020.28018986,38.35420223322847,38.340500213294995,1246,TİP2-8,P_KONUT_MULTIPOLYGON [727 adet],inside,0.000001146480113356876,high,same_name_primary_layer,insert,,1246|2948
31,1432030,449685,44768576,BAYLAN_LORA_W,POINT (439329.13385651 4247296.81011142),EPSG:5258,439329.13385651,4247296.81011142,38.35649350763336,38.30587351677042,608,A2-8,P_KONUT_DÜKKAN_MULTIPOLYGON [365 adet],inside,0.00031186480698109243,high,same_name_primary_layer,insert,,219|608
33,2932957,449693,44768655,BAYLAN_LORA_W,POINT (439822.11149909 4247426.19058459),EPSG:5258,439822.11149909,4247426.19058459,38.35769223029039,38.31150218562607,246,B1-8,RYA_MER_22_MULTIPOLYGON [1 adet],inside,0,high,,insert,,246
34,1435680,449714,44768699,BAYLAN_LORA_W,POINT (442218.317807382 4248105.95422882),EPSG:5258,442218.317807382,4248105.95422882,38.36397340233912,38.33885986794119,153,MT-2,P_KONUT_DÜKKAN_MULTIPOLYGON [365 adet],inside,0.0021811258757157017,high,existing_bina_bilgi,insert,,153|4120
35,1432858,449695,44768685,BAYLAN_LORA_W,POINT (433671.019670521 4244989.48883374),EPSG:5258,433671.019670521,4244989.48883374,38.33530816439239,38.24136173129751,622,B12,P_KONUT_MULTIPOLYGON [727 adet],inside,0.000018967889911022487,high,same_name_primary_layer,insert,,622|2750
36,1435900,425977,44768693,BAYLAN_LORA_W,POINT (442167.055879433 4248088.74333637),EPSG:5258,442167.055879433,4248088.74333637,38.36381505559206,38.338274774826615,4107,M1-1,RYA_MER_38_39_MULTIPOLYGON [2 adet],inside,0.000002760575388969381,high,,insert,,4107
