source_row,meter_number,installation_number,agreement_number,value,location,crs,source_x,source_y,latitude,longitude,bina_id,bina_value,bina_layer,method,meters,confidence,overlay,action,reason,hitIds
2,1435754,449956,44768341,BAYLAN_LORA_W,POINT (442109.200110961 4247790.01080629),EPSG:5258,442109.200110961,4247790.01080629,38.36112029512118,38.33763735307904,4111,M1-5,RYA_MER_38_39_MULTIPOLYGON [2 adet],inside,0.000019561987138659295,high,,insert,,4111
3,1436254,449906,44768344,BAYLAN_LORA_W,POINT (442175.973506643 4247889.53719235),EPSG:5258,442175.973506643,4247889.53719235,38.36202115564541,38.33839313898029,4109,M1-3,RYA_MER_38_39_MULTIPOLYGON [2 adet],inside,0.000019564967076510487,high,,insert,,4109
4,2873269,449186,44768347,BAYLAN_LORA_W,POINT (442344.754526365 4246956.89835992),EPSG:5258,442344.754526365,4246956.89835992,38.35363068948742,38.340400400847486,2947,TİP2-7,RYA_MER_28_MULTIPOLYGON [1 adet],inside,0.000002208491622343014,high,,insert,,2947
5,1430533,449920,44768386,BAYLAN_LORA_W,POINT (428485.471310981 4241383.48243975),EPSG:5258,428485.471310981,4241383.48243975,38.3024270304675,38.182422258878404,5338,YILDIZLAR 4. ETAP DC-2,Maks_Bina,inside,0,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5338
6,1442745,452678,44771941,BAYLAN_LORA_W,POINT (440051.133718921 4248496.47080206),EPSG:5258,440051.133718921,4248496.47080206,38.36734876678996,38.31403127894939,3830,A1-4,RYA_MER_30_MULTIPOLYGON [1 adet],inside,0.00001989126083632336,high,,insert,,3830
7,1444543,453237,44771946,BAYLAN_LORA_W,POINT (431313.350694522 4244744.68947127),EPSG:5258,431313.350694522,4244744.68947127,38.33292549796072,38.21442198672926,786,A4,P_KONUT_MULTIPOLYGON [727 adet],inside,0,high,existing_bina_bilgi,insert,,786|4589
8,1429588,453183,44772291,BAYLAN_LORA_W,POINT (428729.436429116 4241610.47085171),EPSG:5258,428729.436429116,4241610.47085171,38.30449112748716,38.18518821413361,5388,YILDIZLAR -TOKİ 5.ETAP DB-9,Maks_Bina,inside,0,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5388
9,2841369,454575,44772724,BAYLAN_LORA_W,POINT (436930.109594946 4248101.05757209),EPSG:5258,436930.109594946,4248101.05757209,38.36357250363021,38.278356687188946,931,B4,P_KONUT_MULTIPOLYGON [727 adet],inside,0.0000477344104802698,high,same_name_primary_layer,insert,,931|3908
10,1430028,454499,44773050,BAYLAN_LORA_W,POINT (428417.902743372 4241467.87997529),EPSG:5258,428417.902743372,4241467.87997529,38.30318188965989,38.1816413238981,5342,YILDIZLAR 4. ETAP DC-6,Maks_Bina,inside,0.000031081083856430225,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5342
11,2838548,454774,44773085,BAYLAN_LORA_W,POINT (436940.952764334 4248036.8535915),EPSG:5258,436940.952764334,4248036.8535915,38.36299491640263,38.27848648664107,937,B1,P_KONUT_MULTIPOLYGON [727 adet],inside,0.00026709933134378306,high,same_name_primary_layer,insert,,937|3905
12,2838571,454798,44773184,BAYLAN_LORA_W,POINT (436918.940851267 4248151.5425353),EPSG:5258,436918.940851267,4248151.5425353,38.36402648654639,38.278224387933356,942,B7,P_KONUT_MULTIPOLYGON [727 adet],inside,0.004131245656385852,high,same_name_primary_layer,insert,,942|3925
13,1427859,445982,44778759,BAYLAN_LORA_W,POINT (440505.655400364 4246490.54171141),EPSG:5258,440505.655400364,4246490.54171141,38.34930945670498,38.31940102970158,1910,E BLOK,RYA_MER_1_MULTIPOLYGON [1 adet],inside,0.0036399381158881087,high,,insert,,1910
14,1427857,445697,44794623,BAYLAN_LORA_W,POINT (440505.655400364 4246490.54171141),EPSG:5258,440505.655400364,4246490.54171141,38.34930945670498,38.31940102970158,1910,E BLOK,RYA_MER_1_MULTIPOLYGON [1 adet],inside,0.0036399381158881087,high,,insert,,1910
15,2844415,448984,44768485,BAYLAN_LORA_W,POINT (433818.961177578 4245017.39753195),EPSG:5258,433818.961177578,4245017.39753195,38.335570498872116,38.243051061138694,2862,B1 BLOK HAYMA,RYA_MER_45_MULTIPOLYGON [1 adet],inside,0.0000192879373759069,high,,insert,,2862
16,1443905,449190,44768491,BAYLAN_LORA_W,POINT (431523.693300402 4244364.80051137),EPSG:5258,431523.693300402,4244364.80051137,38.329519569494714,38.21686432498217,762,A8,P_KONUT_MULTIPOLYGON [727 adet],inside,0.0002194898780477419,high,same_name_primary_layer,insert,,762|4702
17,1435886,449351,44768525,BAYLAN_LORA_W,POINT (442098.635126902 4248093.20406482),EPSG:5258,442098.635126902,4248093.20406482,38.363850817603094,38.337491585879775,4121,MT-3,RYA_MER_38_39_MULTIPOLYGON [2 adet],inside,0,high,,insert,,4121
18,1431049,449198,44768515,BAYLAN_LORA_W,POINT (427887.400375833 4241266.71322877),EPSG:5258,427887.400375833,4241266.71322877,38.30132733527181,38.17559747061314,5375,YILDIZLAR 4. ETAP GB-12,Maks_Bina,inside,0.000027737124906560185,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5375
19,1437097,449352,44768530,BAYLAN_LORA_W,POINT (443396.264502638 4246245.45289964),EPSG:5258,443396.264502638,4246245.45289964,38.347288911530335,38.352486459972695,718,DB-4,P_KONUT_MULTIPOLYGON [727 adet],inside,0,high,,insert,,718
20,1435810,443685,44768541,BAYLAN_LORA_W,POINT (442167.055879433 4248088.74333637),EPSG:5258,442167.055879433,4248088.74333637,38.36381505559206,38.338274774826615,4107,M1-1,RYA_MER_38_39_MULTIPOLYGON [2 adet],inside,0.000002760575388969381,high,,insert,,4107
21,1429247,449353,44768590,BAYLAN_LORA_W,POINT (428601.6986 4242057.0498),EPSG:5258,428601.6986,4242057.0498,38.30850371652995,38.18368287956266,5254,DC 12,Maks_Bina,inside,0.000023801821394195653,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5254
22,1430179,449927,44768599,BAYLAN_LORA_W,POINT (427631.576590957 4241144.53471241),EPSG:5258,427631.576590957,4241144.53471241,38.30020617576364,38.17268563422931,5380,YILDIZLAR 4.ETAP DB-26,Maks_Bina,inside,0.000029715198414566687,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5380
23,2825730,449971,44768507,BAYLAN_LORA_W,POINT (437014.159800381 4248172.12181143),EPSG:5258,437014.159800381,4248172.12181143,38.364218566680755,38.27931196833599,946,A5,P_KONUT_MULTIPOLYGON [727 adet],inside,0,high,same_name_primary_layer,insert,,946|3883
24,1430211,449192,44768534,BAYLAN_LORA_W,POINT (428463.009692822 4241438.38791245),EPSG:5258,428463.009692822,4241438.38791245,38.302919824088185,38.18215994115859,5337,YILDIZLAR 4. ETAP DC-1,Maks_Bina,inside,0,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5337
25,1435914,444509,44768619,BAYLAN_LORA_W,POINT (442042.079051845 4248006.63989958),EPSG:5258,442042.079051845,4248006.63989958,38.3630673781045,38.33685162524161,703,DBT-3,P_KONUT_DÜKKAN_MULTIPOLYGON [365 adet],inside,0,high,existing_bina_bilgi,insert,,703|4100
26,28225101,449922,44768459,BAYLAN_LORA_W,POINT (436958.289800381 4248214.73221143),EPSG:5258,436958.289800381,4248214.73221143,38.36459847097929,38.27866893747044,947,A7,P_KONUT_MULTIPOLYGON [727 adet],inside,0.000051590195577966724,high,existing_bina_bilgi,insert,,947|3885
27,2932983,449972,44768570,BAYLAN_LORA_W,POINT (439814.284374227 4247470.6231124),EPSG:5258,439814.284374227,4247470.6231124,38.358091956756624,38.311408849824545,249,B4,RYA_MER_22_MULTIPOLYGON [1 adet],inside,0,high,,insert,,249
28,1432317,449167,44768604,BAYLAN_LORA_W,POINT (439226.149712017 4247201.83008552),EPSG:5258,439226.149712017,4247201.83008552,38.35563093923954,38.3047035533085,588,A1-10,P_KONUT_DÜKKAN_MULTIPOLYGON [365 adet],inside,0.002810205031545847,high,same_name_primary_layer,insert,,213|588
