source_row,deveui,bolge,blok,daire,kat,durum,action,reason,bina_id,sayac_id
3,000019c640010392,İKİZCE,A1,Daire 1,0,active,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
4,000019c640012848,İKİZCE,A1,Daire 1,0,registered,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
5,000019c600004133,İKİZCE,A1,Daire 10,0,active,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
6,000019c640013725,İKİZCE,A1,Daire 10,0,registered,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
7,000019c600001223,İKİZCE,A1,Daire 11,0,active,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
8,000019c640017857,İKİZCE,A1,Daire 11,0,registered,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
9,000019c640005261,İKİZCE,A1,Daire 12,0,active,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
10,000019c640017619,İKİZCE,A1,Daire 12,0,registered,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
11,000019c600003367,İKİZCE,A1,Daire 13,0,active,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
12,000019c640018879,İKİZCE,A1,Daire 13,0,registered,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
13,000019c600004135,İKİZCE,A1,Daire 14,0,active,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
14,000019c640015651,İKİZCE,A1,Daire 14,0,registered,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
15,000019c600001275,İKİZCE,A1,Daire 15,0,active,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
16,000019c640016023,İKİZCE,A1,Daire 15,0,registered,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
17,000019c600004136,İKİZCE,A1,Daire 16,0,active,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
18,000019c640012695,İKİZCE,A1,Daire 16,0,registered,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
19,000019c600001327,İKİZCE,A1,Daire 17,0,active,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
20,000019c640012696,İKİZCE,A1,Daire 17,0,registered,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
21,000019c600003363,İKİZCE,A1,Daire 18,0,active,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
22,000019c640012690,İKİZCE,A1,Daire 18,0,registered,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
23,000019c600001321,İKİZCE,A1,Daire 19,0,active,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
24,000019c640014442,İKİZCE,A1,Daire 19,0,registered,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
25,000019c640010397,İKİZCE,A1,Daire 2,0,active,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
26,000019c640018874,İKİZCE,A1,Daire 2,0,registered,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
27,000019c600001328,İKİZCE,A1,Daire 20,0,active,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
28,000019c640012969,İKİZCE,A1,Daire 20,0,registered,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
29,000019c600001320,İKİZCE,A1,Daire 21,0,active,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
30,000019c640017157,İKİZCE,A1,Daire 21,0,registered,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
31,000019c600001224,İKİZCE,A1,Daire 22,0,active,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
32,000019c640012699,İKİZCE,A1,Daire 22,0,registered,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
33,000019c600003368,İKİZCE,A1,Daire 23,0,active,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
34,000019c640015729,İKİZCE,A1,Daire 23,0,registered,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
35,000019c640005265,İKİZCE,A1,Daire 24,0,active,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
36,000019c640015259,İKİZCE,A1,Daire 24,0,registered,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
37,000019c600003366,İKİZCE,A1,Daire 25,0,active,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
38,000019c640015659,İKİZCE,A1,Daire 25,0,registered,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
39,000019c600003364,İKİZCE,A1,Daire 26,0,active,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
40,000019c640014448,İKİZCE,A1,Daire 26,0,registered,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
41,000019c600001225,İKİZCE,A1,Daire 27,0,active,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
42,000019c640018414,İKİZCE,A1,Daire 27,0,registered,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
43,000019c600004137,İKİZCE,A1,Daire 28,0,active,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
44,000019c640018175,İKİZCE,A1,Daire 28,0,registered,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
45,000019c600004131,İKİZCE,A1,Daire 29,0,active,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
46,000019c640016391,İKİZCE,A1,Daire 29,0,registered,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
47,000019c600003361,İKİZCE,A1,Daire 3,0,active,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
48,000019c640012868,İKİZCE,A1,Daire 3,0,registered,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
49,000019c640005264,İKİZCE,A1,Daire 4,0,active,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
50,000019c640018919,İKİZCE,A1,Daire 4,0,registered,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
51,000019c640005267,İKİZCE,A1,Daire 5,0,active,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
52,000019c640019320,İKİZCE,A1,Daire 5,0,registered,unchanged,NO_DETERMINISTIC_DEVICE_LINK,,
