source_row,meter_number,installation_number,agreement_number,value,location,crs,source_x,source_y,latitude,longitude,bina_id,bina_value,bina_layer,method,meters,confidence,overlay,action,reason,hitIds
5,1430533,449920,44768386,BAYLAN_LORA_W,POINT (428485.471310981 4241383.48243975),EPSG:5258,428485.471310981,4241383.48243975,38.3024270304675,38.182422258878404,5338,YILDIZLAR 4. ETAP DC-2,Maks_Bina,inside,0,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5338
8,1429588,453183,44772291,BAYLAN_LORA_W,POINT (428729.436429116 4241610.47085171),EPSG:5258,428729.436429116,4241610.47085171,38.30449112748716,38.18518821413361,5388,YILDIZLAR -TOKİ 5.ETAP DB-9,Maks_Bina,inside,0,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5388
10,1430028,454499,44773050,BAYLAN_LORA_W,POINT (428417.902743372 4241467.87997529),EPSG:5258,428417.902743372,4241467.87997529,38.30318188965989,38.1816413238981,5342,YILDIZLAR 4. ETAP DC-6,Maks_Bina,inside,0.000031081083856430225,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5342
18,1431049,449198,44768515,BAYLAN_LORA_W,POINT (427887.400375833 4241266.71322877),EPSG:5258,427887.400375833,4241266.71322877,38.30132733527181,38.17559747061314,5375,YILDIZLAR 4. ETAP GB-12,Maks_Bina,inside,0.000027737124906560185,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5375
21,1429247,449353,44768590,BAYLAN_LORA_W,POINT (428601.6986 4242057.0498),EPSG:5258,428601.6986,4242057.0498,38.30850371652995,38.18368287956266,5254,DC 12,Maks_Bina,inside,0.000023801821394195653,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5254
22,1430179,449927,44768599,BAYLAN_LORA_W,POINT (427631.576590957 4241144.53471241),EPSG:5258,427631.576590957,4241144.53471241,38.30020617576364,38.17268563422931,5380,YILDIZLAR 4.ETAP DB-26,Maks_Bina,inside,0.000029715198414566687,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5380
24,1430211,449192,44768534,BAYLAN_LORA_W,POINT (428463.009692822 4241438.38791245),EPSG:5258,428463.009692822,4241438.38791245,38.302919824088185,38.18215994115859,5337,YILDIZLAR 4. ETAP DC-1,Maks_Bina,inside,0,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5337
32,1430465,449209,44768595,BAYLAN_LORA_W,POINT (428429.124800528 4241265.8783894),EPSG:5258,428429.124800528,4241265.8783894,38.301363172636485,38.18179004753026,5366,YILDIZLAR 4. ETAP GB-3,Maks_Bina,inside,0,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5366
39,1430689,449930,44768697,BAYLAN_LORA_W,POINT (428601.6986 4242057.0498),EPSG:5258,428601.6986,4242057.0498,38.30850371652995,38.18368287956266,5254,DC 12,Maks_Bina,inside,0.000023801821394195653,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5254
41,1431006,448656,44778794,BAYLAN_LORA_W,POINT (427674.115439541 4241171.67401239),EPSG:5258,427674.115439541,4241171.67401239,38.300454072120075,38.173169115797684,5363,YILDIZLAR 4. ETAP DC-27,Maks_Bina,inside,0.000023268795084751802,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5363
