source_row,meter_number,installation_number,agreement_number,abone_no,value,sayac_markasi,location,crs,source_x,source_y,latitude,longitude,bina_id,bina_value,bina_layer,method,meters,confidence,overlay,action,reason,hitIds
2,3437138,,,192210,GÜNAL,GÜNAL,POINT (470369.3662 4246557.9417),EPSG:5258,470369.3662,4246557.9417,38.35140184263987,38.661022535357496,6379,ERENLI KURAN KURSU,Maks_Bina,inside,0.000034625941043547206,high,,insert,,6379
3,23660451,,,418647,KLEPSAN,KLEPSAN,POINT (470239.863934059 4246576.03303522),EPSG:5258,470239.863934059,4246576.03303522,38.351560528091994,38.6595402773207,6744,SEYDI BATTAL AVCI,Maks_Bina,inside,0,high,,insert,,6744
4,1472497,,,195042,KLEPSAN,KLEPSAN,POINT (470257.2244 4246553.5571),EPSG:5258,470257.2244,4246553.5571,38.351358627955214,38.659739827477416,6420,UAVT 253650626,Maks_Bina,inside,0.000025623899509363813,high,,insert,,6420
5,9784965,,,195043,CEM,CEM,POINT (470235.8849 4246566.1462),EPSG:5258,470235.8849,4246566.1462,38.35147132942676,38.659495174489464,6517,UAVT 248399586,Maks_Bina,inside,0.00010819739045967546,high,,insert,,6517
6,7511090,,,195044,CEM,CEM,POINT (470218.6481 4246578.3196),EPSG:5258,470218.6481,4246578.3196,38.351580421888,38.659297472946854,6457,UAVT 242568855,Maks_Bina,inside,0.0000074533871889292,high,,insert,,6457
7,4910007,,,195040,GÜNAL,GÜNAL,POINT (470285.3781 4246558.3961),EPSG:5258,470285.3781,4246558.3961,38.35140315468454,38.660061699434635,6633,UAVT 403295538,Maks_Bina,inside,0,high,,insert,,6633
8,2403403577,,,425813,KLEPSAN,KLEPSAN,POINT (470261.4089 4246577.4544),EPSG:5258,470261.4089,4246577.4544,38.35157404795247,38.65978669052735,6360,UAVT 254720311,Maks_Bina,inside,0,high,,insert,,6360
9,7517231,,,195041,CEM,CEM,POINT (470261.4089 4246577.4544),EPSG:5258,470261.4089,4246577.4544,38.35157404795247,38.65978669052735,6360,UAVT 254720311,Maks_Bina,inside,0,high,,insert,,6360
10,91169,,,195039,PAKSAY,PAKSAY,POINT (470294.16 4246553.7165),EPSG:5258,470294.16,4246553.7165,38.351361289262194,38.660162360652166,6527,UAVT 255887119,Maks_Bina,inside,0.00009956988080888809,high,,insert,,6527
11,91776-1,,,192213,PAKSAY,PAKSAY,POINT (470485.2441 4246519.7653),EPSG:5258,470485.2441,4246519.7653,38.351061751446444,38.6623497659505,6522,UAVT 252684303,Maks_Bina,inside,0,high,,insert,,6522
12,23411965,,,424693,KLEPSAN,KLEPSAN,POINT (470319.218380939 4246700.92583884),EPSG:5258,470319.218380939,4246700.92583884,38.352688269001625,38.66044283342956,6747,UAVT 834488678,Maks_Bina,inside,0,high,,insert,,6747
13,90848-1,,,193907,PAKSAY,PAKSAY,POINT (470300.3204 4246727.7379),EPSG:5258,470300.3204,4246727.7379,38.35292918171,38.6602255096003,6475,UAVT 254929748,Maks_Bina,inside,0.00013109770118154316,high,,insert,,6475
